id,type,number,title,date,timing_quality,duration_minutes,block_count,word_count,players_present,attendance_source,nat20_mentions,nat1_mentions,top_npc,top_location,words_Topher,words_Silas,words_Bru,words_Elspeth,words_Leliana,words_Olivia,words_Ohma,words_Helisanna,words_Red,words_Jasper
session-33,session,33,33: The Pizza Wars Begin,2025-09-12,approx,225,5641,34729,Silas; Ohma; Helisanna; Bru; Elspeth; Olivia,transcript,2,0,Chalk Rock,Greyport,10651,6368,3610,2957,,2899,4355,3889,,
session-34,session,34,34: The Fractured Soul,2025-09-26,approx,205,5023,28288,Silas; Leliana; Olivia; Bru; Elspeth,transcript,1,0,Victor,,7728,5407,3889,3097,4149,4018,,,,
session-35,session,35,35: The Calm Before the Storm,2025-10-03,approx,205,4257,28388,Silas; Bru; Ohma; Leliana; Olivia,transcript,0,0,George,Greyport,9777,5584,3737,,3280,2652,3358,,,
session-36,session,36,36: Betrayal and Explosions,2025-10-10,none,,,,,none,0,0,,,,,,,,,,,,
session-37,session,37,37: End of Arc 2,2025-10-24,approx,,4462,30832,Silas; Ohma; Olivia; Elspeth; Leliana; Bru,transcript,1,0,Chalk Rock,High Forge,10525,5950,1519,2886,1922,3483,4547,,,
interlude-12,interlude,12,Interlude XII: Return to the Lotus Casino,2025-11-07,approx,135,3714,22948,Olivia; Silas; Bru; Elspeth; Ohma; Leliana,transcript,0,0,Scarlet,High Forge,2822,6239,3121,1394,1101,7034,1237,,,
interlude-13,interlude,13,Interlude XIII: The Sisyphus Circle,2025-11-14,approx,195,4373,32679,Silas; Ohma; Bru; Elspeth; Olivia,transcript,0,0,George,Greyport,4119,13721,4015,3404,,2915,4505,,,
interlude-14,interlude,14,Interlude XIV: The Greyport Speedway Conspiracy,2025-12-05,approx,215,5329,30304,Elspeth; Silas; Bru; Ohma; Olivia; Leliana,transcript,0,1,George,Greyport,3882,4865,3904,8456,1871,3498,3828,,,
interlude-15,interlude,15,Interlude XV: The Greyport Finale Race,2025-12-12,approx,185,5036,26772,Elspeth; Silas; Bru; Olivia; Ohma; Leliana,transcript,0,0,,Greyport,3372,5024,4620,5945,1418,3611,2782,,,
interlude-16,interlude,16,Interlude XVI: The Sacred Disturbance of Tortuga,2025-12-19,approx,215,5793,34186,Silas; Elspeth; Bru; Leliana; Olivia,transcript,0,0,,Greyport,10436,7485,4691,7278,2266,2030,,,,
session-38,session,38,38: The Road to Greyport,2026-01-09,approx,195,3795,29050,Silas; Elspeth; Bru; Ohma; Leliana,transcript,0,0,Scarlet,Greyport,9892,8238,3734,3881,1569,,1736,,,
session-39,session,39,39: The Dragon's Hide,2026-01-16,approx,165,2915,24059,Silas; Ohma; Bru; Leliana,transcript,2,0,George,Greyport,9773,5686,2277,,2249,,4074,,,
session-40,session,40,40: Uneasy Alliances,2026-01-23,approx,185,3282,25706,Silas; Ohma; Bru; Olivia; Leliana,transcript,0,0,George,Greyport,9060,6264,2580,,1252,2496,4054,,,
session-41,session,41,41: The Rebinding Ritual,2026-01-30,approx,185,3353,26167,Silas; Olivia; Ohma; Bru; Elspeth,transcript,1,0,George,High Forge,7797,7264,2022,1106,,4246,3732,,,
session-42,session,42,42: Dragon in the Deep,2026-02-06,approx,205,4127,27606,Silas; Bru; Olivia; Leliana; Elspeth,transcript,1,0,Victor,Greyport,10994,5298,3385,2357,2372,3200,,,,
session-43,session,43,43: The Greyport Zoo Gambit,2026-02-13,approx,175,3292,23696,Silas; Bru; Olivia; Ohma; Leliana,transcript,0,0,Victor,Greyport,9144,4790,2880,,1961,2641,2280,,,
session-44,session,44,44: The Son of Fluke,2026-02-27,approx,178,3897,26728,Silas; Elspeth; Olivia; Leliana,transcript,0,0,Iro,Greyport,2943,13516,,4402,1632,4235,,,,
session-45,session,45,45: A Village in the Void,2026-03-06,approx,126,2420,17254,Silas; Elspeth; Olivia; Leliana; Bru,transcript,0,0,Victor,,7403,3825,994,1920,1547,1565,,,,
session-46,session,46,46: Not Dead Yet,2026-03-20,approx,135,2064,16039,Silas; Olivia; Bru,transcript,0,0,Victor,Greyport,7399,3103,2604,,,2933,,,,
session-47,session,47,47: The Viper's Den,2026-03-27,approx,165,3475,24622,Silas; Elspeth; Olivia,transcript,0,0,Victor,Greyport,9364,6634,,4781,,3843,,,,
session-48,session,48,48: The Other Cooper,2026-04-03,exact,171,3148,24494,Silas; Elspeth; Bru,transcript,0,0,Astro,,8199,8669,1561,6065,,,,,,
session-49,session,49,49: Leave Those Kids Alone,2026-04-10,exact,152,3212,21811,Silas; Elspeth; Olivia; Bru; Leliana,transcript,0,0,Scarlet,,7920,4584,1795,3127,1353,3032,,,,
session-50,session,50,50: The Wall Comes Down,2026-04-17,exact,153,2953,20997,Silas; Elspeth; Bru; Leliana,transcript,1,0,,,8675,4332,2164,4248,1578,,,,,
session-51,session,51,"51: Thank You, Gary",2026-04-24,exact,175,3200,27317,Silas; Elspeth; Olivia; Bru; Leliana,transcript,0,0,Iro,Greyport,2,16077,2232,4473,1361,3172,,,,
session-52,session,52,"52: Wakey Wakey, Violescence and Bakey",2026-05-08,exact,184,3964,24593,Silas; Elspeth; Bru; Leliana,transcript,0,0,Iro,Greyport,9868,5775,2514,4376,2060,,,,,
session-53,session,53,53: How the Moon Was Made,2026-05-15,exact,117,2679,16647,Silas; Elspeth; Bru; Leliana,transcript,1,0,Scarlet,Greyport,6329,4274,1421,3271,1352,,,,,
session-54,session,54,54: Into the Mouth of the Beast,2026-05-29,exact,178,4563,29511,Silas; Elspeth; Olivia; Bru; Leliana,transcript,0,0,Lady Viper,Greyport,12088,5817,2584,4430,1095,3497,,,,
session-55,session,55,55: Faces and Heels,2026-06-05,exact,170,2588,21947,Silas; Olivia; Leliana,transcript,2,0,Scarlet,Eldoran,10202,5905,,,2252,3588,,,,
session-56,session,56,56: No Good Comes From Reading,2026-06-26,exact,213,4506,29749,Silas; Olivia; Leliana; Elspeth; Bru,transcript,0,0,Scarlet,,10054,5232,2683,3542,3790,4448,,,,
session-57,session,57,57: Two Sides of the Same Coin,2026-07-17,exact,156,3004,22055,Silas; Bru; Leliana; Olivia; Elspeth,transcript,0,0,George,,9726,3647,2836,593,2680,2573,,,,
